Bien
id;No voie;Type de voie;Voie;Surface Carrez du 1er lot;Type local;Surface reelle bati;Nombre pieces principales
;9;RUE;DES ECOLES;37,8;Appartement;38;1
;13;RUE;SEBILE;78,58;Appartement;88;3
;59;BD;WILSON;55,84;Appartement;56;3
;4540;RTE;DES FONTAINES;30,44;Appartement;31;2
;160;RUE;REGARD;106;Appartement;92;4
;2;RUE;GEORGES VALLEREY;47,28;Appartement;48;2
;2;RUE;LOUIS MAZIER;48,22;Appartement;47;2
;12;RUE;BAUZONNET;48,06;Appartement;43;3
;17;;GRANDE RUE;100,94;Appartement;73;3
;77;RUE;SIMONE WEIL;62,5;Appartement;63;3
;1;RUE;DU BOICHOT;52,88;Appartement;52;2
;4;;CONDAMINE;83,1;Appartement;84;4
;210;RTE;DU TAILLEUR;48,23;Maison;53;3
;49;AV;VICTOR HUGO;18,63;Appartement;19;1
;1;CHE;DE LA LYRE;61,93;Appartement;64;3
;80;RTE;DE L ETANG;74,39;Maison;74;4
;220;CHE;DE LAREIGNE;45,94;Appartement;46;2
;356;RUE;BREMONTIER;35,66;Appartement;36;3
;16;PL;ARISTIDE BRIAND;52,88;Appartement;50;2
;5;AV;DE LA GRANDE PLAGE;25,53;Appartement;25;1
;4;PL;PORTE CAMPET;94;Appartement;120;4
;220;CHE;DE LAREIGNE;42;Appartement;42;2
;11;RUE;DES SERRES;85,32;Appartement;78;4
;3;PL;ALEXANDRE VIRO;91,43;Appartement;90;4
;9;AV;DE LA GARE;53,22;Maison;50;3
;2057;PL;DES LANDAIS;67,44;Maison;140;8
;112;AV;DU MARENSIN;82,35;Maison;47;3
;74;CHE;DE LOUSTALOT;88,8;Maison;98;4
;141;RUE;MARIE CURIE;43,61;Appartement;44;2
;6;RUE;DE LACOMIAN;77,43;Maison;81;4
;52;RUE;DES MOUSSERONS;41,41;Appartement;42;2
;154;ALL;DU REGAIN;60,65;Appartement;63;3
;40;RES;MER ET GOLF-LE BOUCANIER;21,39;Appartement;21;1
;524;AV;DU BORN;41,33;Appartement;40;3
;176;AV;GABRIELE  D ANNUNZIO;29,78;Maison;25;1
;201;RUE;DES FAUVETTES;43,9;Appartement;47;2
;5;RUE;DE LA PAIX;75,44;Appartement;88;4
;2502;BD;FRANCOIS MITTERRAND;47,14;Appartement;47;2
;20;AV;DES FAISANS;67,08;Appartement;68;3
;22;AV;CANTE CIGALE;25,16;Appartement;25;1
;199;RES;MER ET GOLF-LE BOUCANIER;49,91;Appartement;48;2
;93;AV;CHARLES DE GAULLE;23,53;Appartement;24;1
;1;AV;DE LA PETRE;36,7;Maison;37;2
;26;RUE;NEUVE;36,96;Appartement;24;1
;537;RTE;DE BEYRES;39,01;Appartement;39;3
;30;RUE;DES LAZARISTES;23,58;Appartement;23;1
;3;PL;ALEXANDRE VIRO;63,02;Appartement;63;3
;218;RES;LES MAISONS DU GOLF;43,53;Maison;44;3
;9001;RES;DE L EYRE;47,26;Appartement;44;2
;1;ALL;HELENE ET JACQUES SOLOMON;65,26;Appartement;65;3
;247;CHE;DE NAVARROSSE;49,22;Appartement;60;3
;18;AV;DE LA CONCORDE;82,44;Appartement;78;4
;2;RUE;PARMENTIER;38,55;Appartement;42;3
;9003;AV;DE LA GRANDE PLAGE;3,3;Appartement;29;2
;190;CHE;DE LATRILLETTE;68,23;Maison;68;4
;20;AV;DE PORTAL;34,17;Appartement;34;2
;7;RUE;DES PENITENTS;20,07;Appartement;20;1
;54;RUE;PEYCHAN;70,21;Appartement;81;4
;12;AV;CHAMBRELENT;55;Maison;48;3
;30;RUE;ANDRE BOUILLAR;88,35;Appartement;89;4
;372;RUE;DES SABLES;45,27;Appartement;48;2
;4;RES;EL MARIANT;36,7;Appartement;40;2
;29;RUE;PAUL DUTHIL;91;Appartement;80;3
;7;RUE;DES PENITENTS;18,33;Appartement;18;1
;13;RUE;LA FONTAINE CHAUDE;84,77;Appartement;51;4
;61;AV;DE L AERODROME;59,34;Appartement;60;3
;1;PL;JEAN RAMEAU;38,31;Appartement;53;2
;77;CHE;DE PIP;42,64;Appartement;42;2
;22;AV;MAURICE BOYAU;18,84;Appartement;20;1
;14;RUE;NEUVE;61,3;Maison;53;2
;11;RUE;D'ASPREMONT;55,46;Appartement;56;3
;56;AV;MAURICE MARTIN;25,74;Appartement;27;1
;59;RES;PINADA DEL MAR I;35,12;Appartement;26;2
;543;AV;DE LA RESISTANCE;58,26;Appartement;59;3
;1;RUE;DES CAMPEURS;34,12;Maison;37;1
;5;RUE;DU GENERAL DE GAULLE;27,54;Appartement;28;1
;23;RUE;BERTRANOTTE;47,72;Appartement;48;2
;7;RES;EL MARIANT;39,21;Appartement;41;2
;1003;AV;DE L OCEAN;50,7;Appartement;39;2
;1789;;NOTRE DAME;23,05;Appartement;23;1
;80;RUE;DES AVOCETTES;43,82;Appartement;44;2
;39;RTE;DE MORA;52,71;Appartement;53;3
;60;RTE;DE SEIGNOSSE;63,38;Appartement;63;3
;252;RUE;DES MESANGES;65,57;Appartement;64;3
;346;AV;GABRIELE  D ANNUNZIO;27,01;Maison;33;2
;13;AV;DE LA GRANDE PLAGE;33,06;Appartement;31;3
;9;PL;ALEXANDRE VIRO;45,82;Appartement;45;2
;54;RUE;LABADIE;51,92;Appartement;52;2
;90;AV;DE TUDELA;46,6;Appartement;46;2
;54;RUE;LABADIE;46,05;Appartement;45;2
;116;;PAS DE LES AMNES;81,7;Maison;82;4
;224;CHE;DE LA MONTAGNE;30,58;Appartement;30;2
;78;RTE;DE BIDACHE;62,63;Appartement;62;3
;40;AV;DE HUNINGUE;78,3;Appartement;79;3
;5;RUE;D OLD ORCHARD;28;Maison;25;2
;97;RUE;DU COUT;85,99;Appartement;95;5
;14;RUE;DE LA TANNERIE;29,08;Appartement;29;1
;52;RUE;LABADIE;21,88;Appartement;23;2
;17;ALL;DES CHEVREUILS;79,36;Maison;79;4
;27;RUE;DE MADRID;33,46;Appartement;34;2
;10;RUE;DE L ESTEY;49,84;Appartement;53;2
;526;AV;DU MAL FOCH;46,81;Appartement;47;2
;37;PL;CHARLES DE GAULLE;90,99;Appartement;95;3
;37;RES;LE TRIANGLE;23,1;Appartement;22;1
;2;RUE;DE TIREBESTE;43,86;Appartement;44;2
;32;IMP;DES CLAIRIERES;43,12;Maison;43;3
;106;AV;DES SYNGNATHES;21,55;Appartement;19;1
;269;CHE;DE NAVARROSSE;50,06;Appartement;58;3
;52;AV;DE LA CONCORDE;145;Appartement;125;4
;2061;RTE;DE SIEST;131,09;Appartement;140;4
;;RTE;DE LA NASSE;44,3;Appartement;44;2
;118;RES;DOMAINE GOLF DE PINSOLLE;31,52;Appartement;31;2
;4;RUE;MARC ABRAHAM;47,84;Appartement;48;2
;58;RUE;DU CENTRE AERE;36,65;Appartement;37;2
;140;CHEM;DE LAGROUNE;132,45;Maison;132;4
;19;RUE;DE L'EUROPE;62,92;Appartement;64;3
;123;RUE;DES MULETIERS;45;Maison;46;2
;220;CHE;DE LAREIGNE;46,17;Appartement;46;2
;299;RUE;DU PEGLE;46,77;Appartement;45;2
;46;PL;LILY;74,1;Appartement;83;4
;190;AV;DE MEYRIE;71,85;Appartement;70;4
;1998;RTE;DE LESPECIER;30,7;Maison;60;3
;26;AV;MAL DE LATTRE DE TASSIGNY;22,76;Appartement;23;1
;180;RUE;DES TCHICOYS;39,6;Appartement;39;2
;71;RUE;DU CAPITAINE NEMO;69,05;Appartement;68;3
;1709;AV;CHARLES DE GAULLE;59,34;Appartement;60;2
;9;ALL;DES BERGES LANDAISES;45,85;Appartement;46;2
;2;RUE;DE MAOUCOUT;52;Appartement;52;2
;61;AV;DE L AERODROME;30,78;Appartement;30;1
;9001;AV;DE LA GRANDE PLAGE;20,87;Appartement;21;2
;356;RUE;BREMONTIER;51,16;Appartement;51;3
;13;AV;GEORGES CLEMENCEAU;15,07;Appartement;20;1
;9;RUE;DE LA TANNERIE;51,39;Appartement;50;2
;2;IMP;DE HILLO;41,36;Appartement;41;2
;835;RUE;DE L'EUROPE;71,56;Appartement;72;3
;474;AV;DES CIGOGNES;36,74;Maison;30;1
;181;RUE;ADOUR ET CHALOSSE;76,87;Appartement;78;3
;504;ALL;DE CHRISTUS;38,34;Appartement;38;2
;12;RUE;DES GENETS;49,27;Appartement;50;3
;7;ALL;DE BOURGOGNE;61,12;Appartement;62;3
;127;RUE;JEAN DE LA FONTAINE;54,55;Appartement;54;2
;20;RUE;DES MARSOUINS;32,08;Appartement;34;2
;1;RUE;DES MERLES;94,26;Appartement;94;4
;60;AV;DE LA COLONIE;48,17;Appartement;48;2
;108;AV;CRONSTADT;41,85;Appartement;40;1
;273;AV;GABRIELE  D ANNUNZIO;28,81;Appartement;26;1
;1;RES;DE L ESTACADE;30,19;Appartement;30;2
;128;RUE;DES ROGATIONS;68,85;Appartement;70;3
;1;BD;DE POYUSAN;102,83;Appartement;103;4
;2752;AV;DE L OCEAN;25,17;Appartement;25;3
;2;ALL;DES CHENES LIEGE;60,38;Appartement;60;3
;205;RUE;DU LAC EN BERNON;50;Appartement;40;3
;;HAM;LE BOSQUET AUX ECUREUILS I;39,09;Appartement;42;1
;157;RES;DE L OCEAN;37,4;Appartement;38;2
;1055;RES;L'ARRAYADE II;33,4;Appartement;33;2
;283;;PAS DE LES AMNES;37,69;Appartement;38;2
;2;RUE;DOUSSEAU;40,39;Appartement;40;2
;1998;RTE;DE LESPECIER;46,09;Maison;64;3
;320;RUE;DES PELERINS;35,68;Appartement;37;2
;372;RUE;DES SABLES;40,64;Appartement;43;2
;94;AV;DU TOURING CLUB;47,82;Appartement;48;3
;27;RUE;DE LA CROIX BLANCHE;25,05;Appartement;27;1
;220;RES;LES MAISONS DU GOLF;54,95;Maison;54;4
;227;BD;DE LA DUNE;53,23;Appartement;51;3
;138;AV;GEORGES CLEMENCEAU;46,57;Appartement;46;2
;10;RUE;DE L ESTEY;39;Appartement;40;1
;10;IMP;JACQUELINE AURIOL;84,6;Appartement;84;4
;71;RUE;DU CAPITAINE NEMO;45,13;Appartement;45;2
;543;AV;DE LA RESISTANCE;43,31;Appartement;45;2
;7;RUE;DES PYRENEES;90,92;Appartement;95;3
;326;RUE;FRANCIS JAMES;53,96;Maison;52;3
;210;RTE;DU TAILLEUR;48,71;Appartement;53;3
;524;AV;DU BORN;41,67;Appartement;40;3
;14;RUE;DE LA TANNERIE;15,51;Appartement;16;1
;30;RUE;DU CAPITAINE NEMO;63,09;Appartement;62;3
;4;PL;RAKHAM LE ROUGE;21,11;Appartement;22;2
;7;RUE;DE LA GOUROTTE;91,64;Appartement;94;4
;43;RUE;PIERRE LISSE;25,86;Appartement;25;1
;52;ALL;MARINES;56,51;Appartement;56;2
;;QUAI;DE LA PECHERIE;19,65;Appartement;20;1
;43;AV;VICTOR HUGO;51,64;Appartement;52;2
;789;AV;DU 8 MAI 1945;98,91;Maison;88;4
;107;RES;DES MAISONS D ALBRET 3;28,9;Appartement;24;2
;3;RUE;DES MARAICHERS;37,16;Appartement;37;2
;4;RUE;DE L'AIRIAL;79,44;Appartement;80;4
;901;AV;JEAN ROSTAND;59,67;Maison;58;3
;80;BD;DE LA BRIGADE CARNOT;88,13;Appartement;88;3
;8;PL;DES ESTAGNOTS;46,31;Appartement;48;2
;9001;RES;DE L EYRE;21,6;Appartement;22;1
;52;AV;DU GEN DE GAULLE;67,95;Appartement;68;3
;1955;AV;DU QUARTIER NEUF;46,86;Appartement;47;2
;6;IMP;AMAURY;45,13;Appartement;46;2
;112;RES;DU GOLF BAT ALBATROS;27,27;Appartement;28;2
;1789;;NOTRE DAME;30,52;Appartement;33;3
;372;RUE;DES SABLES;30,97;Appartement;36;1
;1;RUE;LISE ET ARTUR LONDON;33,3;Appartement;33;2
;1998;RTE;DE LESPECIER;46,09;Maison;64;3
;61;AV;DE L AERODROME;62,49;Appartement;60;3
;9001;AV;CHAMBRELENT;29,93;Appartement;30;2
;56;AV;GEORGES CLEMENCEAU;20,27;Appartement;21;1
;40;PL;JOSEPH PANCAUT;25,57;Appartement;27;1
;2;RES;LE SABLAR;33,14;Maison;49;3
;2;RUE;DE L ADOUR;28,07;Appartement;27;1
;21;AV;DE LA REPUBLIQUE;30,56;Appartement;55;2
;509;AV;DE LA RESISTANCE;56,92;Appartement;58;3
;34;PL;DU MARCHE;19,57;Appartement;20;1
;204;RES;LES MAISONS DU GOLF;52,66;Maison;53;4
;5;RUE;DE NICE;62,54;Appartement;62;4
;77;RUE;MODIGLIANI;71,68;Appartement;74;3
;356;RUE;BREMONTIER;20,52;Appartement;21;1
;13;RUE;DU CAMP D ARGENT;59,31;Appartement;61;3
;97;RUE;DU COUT;43;Appartement;43;2
;18;AV;LAHARIE;97,01;Maison;96;4
;17;RUE;LABADIE;95,38;Appartement;98;4
;10;RUE;ROBERT WLERICK;82,95;Appartement;90;4
;9;PL;ALEXANDRE VIRO;46,15;Appartement;45;2
;54;RUE;LABADIE;66,51;Appartement;66;3
;71;AV;JULIAN GRIMAU;33,36;Appartement;33;1
;42;AV;DES FORESTIERS;84,29;Maison;83;4
;3;AV;MAL DE LATTRE DE TASSIGNY;89,6;Maison;85;3
;20;AV;DES FAISANS;67,45;Appartement;68;3
;3;RUE;DE LA PAIX;72,78;Appartement;73;3
;12;ALL;DES PRUNUS;27,43;Appartement;27;1
;14;RES;LES MOTELS DU GOLF;22,15;Appartement;23;2
;3;RES;LA SABLEYRE;41,44;Appartement;41;2
;474;AV;DES CIGOGNES;34,08;Maison;30;1
;6;RUE;DE LA HIRE;77,55;Appartement;73;4
;420;CHE;DE PIRON;95,06;Appartement;93;5
;4;ALL;DES BERGES LANDAISES;37,54;Appartement;38;2
;37;AV;SAINT VINCENT DE PAUL;29,74;Appartement;22;1
;7;RUE;DE LA POSTE;100;Appartement;98;3
;29;RUE;DARMANDARITZ;42,84;Appartement;44;2
;10;AV;DU MARECHAL LECLERC;66,42;Appartement;62;3
;2500;QUAI;BONAMOUR;32,14;Appartement;40;1
;30;AV;DU QUATRE SEPTEMBRE;75,45;Appartement;70;4
;8;AV;DU MARECHAL LECLERC;66,12;Maison;95;4
;8;PL;DES BOURDAINES;21,45;Appartement;22;1
;2500;QUAI;BONAMOUR;43,92;Appartement;43;2
;2;RUE;DES FAURES;20,38;Appartement;20;1
;61;AV;DE L AERODROME;40,06;Appartement;39;2
;202;RUE;DE L ESCOUARTE;79,28;Maison;80;4
;26;CRS;GALLIENI;55,75;Appartement;70;3
;16;RUE;DE L'AIRIAL;75,92;Appartement;76;3
;16;RUE;DES COLIBRIS;62,7;Appartement;63;3
;356;RUE;BREMONTIER;41,6;Appartement;42;2
;333;AV;DU TOUR DU LAC;59,78;Appartement;60;2
;90;AV;DE TUDELA;56,11;Appartement;55;3
;6;RUE;DE MOUNSEMPES;106,02;Maison;106;5
;178;RUE;DES SOUCHETS;36,56;Appartement;37;2
;230;AV;DU GENERAL LECLERC;64,76;Maison;65;3
;2;PROM;DES REMPARTS;43,09;Appartement;44;2
;1;RES;LES RIVAGES;24,28;Appartement;25;2
;8;RUE;DU TREUILH;44,31;Appartement;44;2
;31;AV;DU COURANT;26,79;Maison;24;2
;72;RUE;RENE MERICAM;34,54;Appartement;36;2
;83;;MARINES DE PORT D ALBRET;26,7;Appartement;29;2
;646;RUE;HELENE BOUCHER;61,33;Appartement;60;3
;26;RES;DU GOLF BAT LE MASTER;27,32;Appartement;28;2
;29;AV;DES ALOUETTES;57,25;Appartement;58;3
;9;RUE;JEAN LE BON;50,86;Appartement;52;2
;29;ALL;DU STADE;82,44;Appartement;75;4
;211;RTE;DU BOURG;20,6;Appartement;21;1
;150;AV;DE GASCOGNE;35,11;Appartement;34;2
;31;CHE;DE LILLOT;72,9;Appartement;70;4
;9;RUE;DU 19 MARS 1962;30,83;Appartement;31;1
;9001;RES;LES CORMORANS;58,11;Appartement;47;4
;210;RTE;DU TAILLEUR;49,3;Appartement;53;2
;21;RUE;LAFAYETTE;82,95;Appartement;51;2
;224;CHE;DE LA MONTAGNE;49,26;Maison;49;4
;76;AV;DES PINS TRANQUILLES;37,23;Appartement;38;2
;3;RES;PINADA DEL MAR I;38,52;Appartement;43;2
;1;AV;DE MOISAN;54,4;Appartement;57;3
;8;AV;DE L'ADOUR;62,18;Appartement;63;3
;269;CHE;DE NAVARROSSE;50,92;Appartement;54;3
;115;RES;DES MAISONS D ALBRET 3;25,55;Appartement;24;2
;543;AV;DE LA RESISTANCE;60,43;Appartement;58;3
;25;AV;DES GENETS;92,06;Appartement;86;5
;10;RUE;MARIE;68,41;Maison;75;3
;8;AV;DE LA GRANDE PLAGE;19,72;Appartement;19;1
;4;CHE;DES BICHES;79,21;Maison;79;4
;58;RUE;DU CENTRE AERE;30,19;Appartement;30;1
;502;AV;DU 34 RI;34,32;Appartement;34;2
;1;BD;DE POYUSAN;78,32;Appartement;78;3
;8;RUE;DES AULNES;132,36;Maison;66;3
;24;RUE;DES ABEILLES;57,48;Appartement;58;2
;43;RUE;PIERRE LISSE;29,08;Appartement;28;1
;5;RES;LA SABLEYRE;31,66;Appartement;31;2
;20;RUE;DES HIRONDELLES;63,81;Appartement;66;3
;524;AV;DU BORN;40,98;Appartement;40;3
;65;AV;JEAN LARTIGAU;39,94;Appartement;39;2
;200;RUE;DE LA CROIX BLANCHE;60,99;Appartement;60;3
;255;RUE;DU 19 MARS 1962;81,45;Maison;82;4
;6;RUE;LEON LALANNE;49,95;Appartement;46;2
;7;RUE;DES LIEGES;93,03;Maison;91;4
;19;RUE;DES TOURTERELLES;63,6;Maison;108;5
;220;CHE;DE LAREIGNE;41,84;Appartement;42;2
;6949;RTE;DES LACS;64;Appartement;65;4
;1;RUE;JEAN RAMEAU;62,1;Appartement;61;3
;28;AV;DE L AERODROME;95,46;Maison;87;4
;6;AV;DES DUNES;64,49;Maison;58;2
;17;RUE;HENRI DESGRANGES;56,18;Appartement;57;3
;2;PL;VICTOR GENTILLE;43,71;Appartement;30;2
;67;AV;DU GRAND BRUCA;95,1;Maison;72;3
;27;AV;MAURICE MARTIN;35,25;Appartement;34;2
;1;AV;DE LA PETRE;36,39;Maison;37;2
;2749;AV;DE L OCEAN;25,08;Appartement;25;3
;257;RUE;RENEE DARRIET;42,96;Appartement;43;2
;1;AV;DE LA PETRE;47,78;Maison;48;3
;30;ALL;DES TOURTERELLES;41,64;Appartement;42;2
;61;AV;DE L AERODROME;62,9;Appartement;60;3
;9;AV;CHAMBRELENT;42,43;Appartement;46;3
;;PL;DE LA BASTIDE;17,59;Appartement;17;1
;16;RUE;DU DIAMANT;71,47;Appartement;86;4
;193;RUE;D YQUEM;68,01;Maison;67;3
;113;CHE;D EN BONNET;57,25;Maison;59;3
;2;RUE;DE LA TANNERIE;28,4;Appartement;28;1
;16;RUE;DU GENERAL DE GAULLE;22,57;Appartement;23;1
;1;RUE;DES CAMPEURS;26,25;Maison;33;2
;2;RUE;DU PETIT JEAN;60,02;Maison;61;3
;20;RUE;DES CARMES;39,89;Appartement;45;2
;6;AV;DE LA PLAGE;23,14;Appartement;22;1
;6;RUE;DE L ADOUR;66,74;Appartement;66;3
;320;RUE;DES PELERINS;36,71;Appartement;37;2
;129;RTE;DE BAYONNE;106,32;Maison;105;4
;95;RUE;GAMBETTA;75,92;Appartement;81;3
;4;ALL;DES BERGES LANDAISES;106,88;Appartement;106;5
;141;RUE;MARIE CURIE;43,79;Appartement;44;2
;2;RUE;DE MAOUCOUT;46,4;Appartement;46;2
;21;PL;DU COMMERCE;17,27;Appartement;18;1
;5;RUE;DE QUEBEC;33,89;Appartement;34;2
;17;RUE;HENRI DESGRANGES;42,88;Appartement;43;2
;5;RUE;VICTOR HUGO;31;Appartement;32;2
;9;RES;DU GOLF BAT LE MASTER;23,01;Appartement;23;1
;94;RUE;DES TOUYAS;84,99;Appartement;94;5
;1;AV;DE MOISAN;41,58;Appartement;42;3
;71;RUE;DU CAPITAINE NEMO;45,18;Appartement;45;2
;252;RUE;DES MESANGES;44,52;Appartement;44;2
;7;RES;PINADA DEL MAR I;34,07;Appartement;40;3
;356;RUE;BREMONTIER;41,8;Appartement;42;2
;33;RUE;DE LA CROIX BLANCHE;32,36;Appartement;33;1
;2752;AV;DE L OCEAN;25,17;Appartement;25;3
;1998;RTE;DE LESPECIER;45,16;Maison;64;3
;1;RUE;JACQUELINE AURIOL;33,87;Appartement;35;2
;1;RUE;MICHEL TISSE;24,21;Appartement;24;1
;20;AV;DE LA GRANDE PLAGE;22,42;Appartement;23;1
;299;AV;DU COLONEL ROZANOFF;45,88;Appartement;46;2
;230;AV;DU GENERAL LECLERC;78,74;Appartement;80;4
;264;RUE;DU NAUTILUS;75,49;Appartement;88;4
;9001;AV;CHAMBRELENT;29,32;Appartement;30;2
;185;AV;GABRIELE  D ANNUNZIO;37,61;Appartement;39;2
;3;RUE;DES MARAICHERS;54,73;Appartement;55;2
;282;RES;DES MAISONS D ALBRET 3;33,89;Appartement;29;2
;2753;AV;DE L OCEAN;25,17;Appartement;25;3
;5;AV;DE LOGRONO;49,65;Appartement;49;2
;230;AV;DU GENERAL LECLERC;50,7;Maison;47;2
;141;RUE;MARIE CURIE;55,59;Appartement;56;3
;1;AV;DE LA PETRE;63,28;Maison;66;4
;37;BD;CLAUDE LORRIN;41,18;Appartement;38;2
;78;AV;DES ABEILLES;41,81;Appartement;42;3
;459;AV;DE L AVIATION;44,06;Appartement;45;1
;2753;AV;DE L OCEAN;25,17;Appartement;25;3
;210;RTE;DU TAILLEUR;48,49;Maison;60;3
;11;RUE;PAUL DUTHIL;69,65;Appartement;71;3
;115;CHEM;DE LATINE;78,02;Maison;78;4
;719;RUE;GILBERT LAHILLADE;93,26;Maison;85;4
;3;RUE;DES URSULES;95,73;Appartement;94;4
;4;RUE;BASSE;37,1;Appartement;39;1
;6;RPE;DES FOSSES DU CHATEAU;39,88;Appartement;39;1
;46;RUE;LUCIEN JARDEL;45,59;Appartement;45;2
;13;RUE;DES MINIMES;23,03;Appartement;22;1
;1;RUE;DES TROIS CLEFS;24,55;Appartement;24;1
;35;RUE;SAINT LUBIN;42,75;Appartement;49;2
;53;QUAI;ULYSSE BESNARD;76,87;Appartement;76;3
;7;AV;ELTVILLE;23,24;Appartement;23;1
;11;AV;ELTVILLE;23,27;Appartement;23;1
;2;RUE;DE LA GARE;62;Maison;60;3
;4;ALL;DE TARSIS;56,25;Appartement;56;3
;37;MAIL;DU MAL LECLERC;61,36;Appartement;54;3
;8;RUE;DES ETATS UNIS;55,82;Appartement;58;3
;17;RUE;DE LA RESISTANCE;95,01;Appartement;87;3
;320;RUE;DES ORMEAUX;62,33;Appartement;62;3
;7;AV;ELTVILLE;46,95;Appartement;47;2
;7;RUE;DES ECOLES;31,85;Appartement;30;2
;3;RUE;DU CHANGE;38,2;Appartement;40;2
;10;RUE;MARIE DE LUXEMBOURG;107,09;Appartement;92;4
;2;RUE;DES MERISIERS;42,6;Appartement;43;2
;15;RUE;DUGUAY TROUIN;84,52;Appartement;88;4
;5;AV;DU DOC JEAN LAIGRET;73,54;Appartement;74;4
;1;BD;VAUBAN;33,72;Appartement;33;2
;68;AV;DU MARECHAL MAUNOURY;42,57;Appartement;39;2
;3;RUE;MARIE VIRGINIE VASLIN;108,02;Appartement;108;4
;15;RUE;DE LA GARE;47,33;Appartement;47;2
;162;RUE;ALBERT 1ER;47,29;Appartement;47;1
;47;RUE;ALBERT 1ER;85,09;Appartement;83;4
;41;RUE;DU COMMERCE;45,27;Appartement;45;2
;6;RUE;SAULNERIE;65,92;Appartement;66;3
;52;RUE;JACQUELINE AURIOL;67,79;Maison;69;3
;9;RUE;DU DOCTEUR VIGNERON;65,75;Appartement;66;4
;7;CHEM;HAUT DES LIEVRERIES;57,12;Appartement;57;3
;7;RUE;DES GALLIERES;16,65;Appartement;18;1
;9;IMP;DE LA CONANDIERE;80,35;Maison;80;4
;5;AV;DU DOC JEAN LAIGRET;13,48;Appartement;13;1
;1;RUE;LATHAM;65,48;Appartement;69;3
;15;RUE;SAINT BIE;38,7;Appartement;38;2
;2;RUE;DES MERISIERS;34,23;Appartement;35;2
;12;FG;CHARTRAIN;116,52;Appartement;115;5
;63;RUE;DENIS PAPIN;49,37;Appartement;60;2
;14;PL;DE LA PAIX;7,22;Maison;76;3
;10;RUE;DENIS PAPIN;70,38;Appartement;73;3
;17;RUE;DES PONTIERES;52,45;Appartement;52;2
;28;RUE;DU CHANGE;73,11;Appartement;82;3
;62;AV;DE VENDOME;22,19;Appartement;22;1
;42;AV;DU MARECHAL FOCH;64,21;Appartement;65;3
;7;RUE;DU PRESSOIR BLANC;60,36;Appartement;59;3
;68;AV;DU MARECHAL MAUNOURY;85,78;Appartement;88;4
;14;RUE;BASSE;36;Appartement;35;2
;12;PL;JEANNE D ARC;120;Appartement;121;4
;12;RUE;DU DOCTEUR VIGNERON;66,11;Appartement;69;4
;18;RUE;ALFRED HALOU;20,68;Appartement;22;1
;12;FG;CHARTRAIN;30,2;Appartement;29;1
;4;PL;DE LA PAIX;68;Appartement;71;3
;14;RUE;DENIS DUPONT;42,94;Appartement;44;2
;3;AV;DU MARECHAL JUIN;67,55;Appartement;67;3
;17;RUE;DES PONTIERES;81,73;Appartement;81;4
;46;RUE;LUCIEN JARDEL;39,04;Appartement;38;2
;7;AV;ELTVILLE;23,4;Appartement;23;1
;7;RUE;AMPERE;85,96;Appartement;85;4
;3;RUE;DE TERRENOIRE;47,9;Appartement;48;2
;19;RUE;CHEVREUL;28,44;Appartement;28;2
;21;CRS;VICTOR HUGO;149,55;Appartement;148;5
;25;RUE;DES ACIERIES;88,28;Appartement;94;3
;2;RUE;DE LA SABLIERE;66,63;Appartement;75;4
;78;RUE;DESIRE CLAUDE;97,36;Appartement;100;3
;4;RUE;CONDORCET;153,34;Maison;117;5
;20;RUE;MARCELLIN CHAMPAGNAT;66,07;Appartement;66;4
;3;RUE;BONNASSIEUX;23,72;Appartement;25;2
;4;RUE;JEANNE D ARC;82,34;Appartement;80;3
;5;RUE;OLIVIER DE SERRES;74,57;Appartement;74;3
;3;RUE;AMOUROUX;92,58;Appartement;107;5
;86;RUE;BERGSON;72,48;Appartement;74;3
;25;RUE;DE MONTAUD;64,8;Appartement;47;2
;83;CRS;FAURIEL;31,93;Appartement;32;1
;35;RUE;DES DOCTEURS CHARCOT;78,38;Appartement;74;3
;59;RUE;DES PASSEMENTIERS;63,9;Appartement;64;4
;53;RUE;NICEPHORE NIEPCE;92,53;Maison;85;5
;14;RUE;CLAUDE DESGOUTTE;82,58;Appartement;81;3
;13;RUE;VAILLANT COUTURIER;21,54;Appartement;28;1
;38;RUE;VICTOR HUGO;70,1;Appartement;70;3
;80;RUE;MARENGO;71,97;Appartement;69;4
;17;RUE;VIVARAIZE;59,78;Appartement;62;3
;80;RUE;MARENGO;71,25;Appartement;69;4
;8;RUE;P ET D PONCHARDIER;71,92;Appartement;72;3
;29;RUE;DE LA CONVENTION;46,94;Appartement;47;2
;14;RUE;RAOUL FOLLEREAU;48,33;Appartement;48;2
;18;RUE;DE LA SABLIERE;62;Appartement;61;3
;14;RUE;DE L ALMA;37,66;Appartement;55;1
;2;RUE;HECTOR BERLIOZ;155;Appartement;217;1
;5;RUE;TRAVERSIERE;81,44;Appartement;80;2
;122;RUE;BERGSON;64,02;Appartement;66;3
;10;RUE;EDMOND CHARPENTIER;62,5;Appartement;74;2
;13;RUE;FRANCOIS ALBERT;42,02;Appartement;45;2
;24;RUE;DU HUIT MAI 1945;57,74;Appartement;66;3
;47;RUE;DESIRE CLAUDE;18;Appartement;18;1
;4;RUE;DOMINIQUE LEPRINCE RINGUET;68,87;Appartement;71;4
;34;RUE;EMILE LITTRE;42,14;Appartement;45;3
;55;RUE;DES PASSEMENTIERS;192,57;Appartement;198;3
